food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
B022	Red gram, whole (Cajanus cajan)	6	4.35±0.41	5.98±0.33	10.41±0.95	20.27±0.94	3.33±0.25	3.93±0.47	4.40±0.41	2.54±0.25	3.28±0.13	3.38±0.49	6.88±0.48	7.07±0.37	0.92±0.32	0.91±0.07	8.71±0.82	3.38±0.21	0.75±0.17	4.17±0.65
B023	Ricebean (Vigna umbellata )	1	4.76	5.58	10.12	17.32	4.28	4.20	4.83	3.12	3.23	3.80	7.86	6.75	1.12	1.02	7.56	3.52	0.82	5.23
B024	Soybean, brown (Glycine max)	6	4.32±0.61	6.62±0.50	11.47±1.19	18.27±1.26	3.79±0.31	4.40±0.20	4.91±0.66	3.21±0.30	2.40±0.28	4.57±0.33	8.27±0.17	7.67±0.11	1.46±0.11	1.56±0.08	4.73±0.77	3.47±0.17	1.59±0.26	5.04±0.59
B025	Soybean, white (Glycine max)	1	4.33	7.33	11.40	16.78	3.89	3.24	4.62	3.32	2.55	4.59	8.14	7.18	1.55	1.44	5.01	3.88	1.68	5.53
C010	Betel leaves, big (Kolkata) (Piper betle)	6	8.68±0.82	4.94±0.51	12.59±0.61	13.33±1.59	7.50±1.22	5.43±0.79	6.16±0.69	3.48±0.27	0.80±0.09	2.05±0.26	7.87±0.65	2.30±0.41	0.72±0.17	0.42±0.26	4.58±1.11	4.25±0.60	1.00±0.45	3.46±0.36
C011	Betel leaves, small (Piper betle)	4	7.61±1.58	4.59±0.57	11.69±0.47	12.99±1.39	7.88±1.42	5.13±0.87	6.21±0.96	3.37±0.28	0.81±0.03	2.59±1.26	7.86±1.60	2.27±0.13	0.76±0.23	0.38±0.10	4.73±1.81	4.57±0.42	0.69±0.18	3.93±1.61
C012	Brussels sprouts (Brassica oleracea var. gemmifera)	1	4.63	7.63	12.36	20.82	4.54	8.89	5.45	2.37	1.79	3.58	5.04	3.50	1.34	0.67	3.23	4.30	0.93	4.74
C013	Cabbage, Chinese (Brassica rupa)	1	6.37	5.84	10.84	21.42	3.82	3.76	5.82	2.05	1.97	5.72	5.69	5.78	1.06	0.94	3.27	4.01	1.24	5.40
C014	Cabbage, collard greens (Brassica oleracea var. viridis)	1	7.68	4.32	11.13	21.91	5.61	5.35	4.20	2.78	1.62	3.81	6.67	3.62	1.11	0.91	4.56	4.04	1.24	5.64
C015	Cabbage, green (Brassica oleracea var. capitata f. alba)	6	6.26±0.95	4.57±1.62	10.55±1.92	26.30±5.17	3.24±0.74	3.98±0.85	4.02±0.76	2.11±0.29	1.56±0.36	3.56±0.61	5.31±0.79	3.12±0.88	1.06±0.22	0.90±0.23	2.56±0.64	3.76±0.56	0.93±0.04	4.83±1.23
C016	Cabbage, violet (Brassica oleracea var. capitata f. rubra)	2	6.17	4.67	11.53	28.60	3.04	4.34	4.22	2.29	1.62	3.56	5.31	2.85	0.85	0.63	2.21	2.67	0.82	5.47
C017	Cauliflower leaves (Brassica oleracea var. botrytis)	6	6.82±0.41	5.89±0.88	11.76±1.28	22.09±2.64	3.96±0.14	4.63±0.51	5.14±0.16	0.77±0.99	1.88±0.19	3.37±0.16	5.36±0.29	4.01±0.08	0.99±0.09	0.68±0.04	4.16±0.41	4.01±0.04	1.12±0.34	4.93±0.38
C018	Colocasia leaves, green (Colocasia esculenta)	6	9.40±2.53	5.84±0.43	8.55±3.08	15.25±1.91	4.66±0.50	5.01±0.18	4.52±0.32	3.78±0.21	3.40±1.66	3.51±1.02	7.45±0.50	4.26±0.62	1.79±0.48	1.07±0.30	4.43±0.74	4.53±0.25	1.01±0.30	4.64±1.52
