food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
E065	Water melon, dark green (sugar baby) (Citrullus vulgaris)	6	3.86±0.15	7.87±0.29	16.26±1.09	13.85±0.41	1.74±0.26	3.70±0.15	2.51±0.19	1.89±0.20	2.34±0.16	3.34±0.18	2.87±0.19	3.36±0.23	0.78±0.08	0.77±0.05	2.58±0.28	4.60±0.38	1.15±0.24	3.54±0.21
E066	Water melon, pale green (Citrullus vulgaris)	6	4.04±0.29	8.19±0.27	16.50±0.83	14.70±0.54	2.40±0.27	4.21±0.14	3.47±0.25	1.87±0.14	2.80±0.09	3.49±0.24	3.10±0.16	2.91±0.11	0.94±0.25	0.84±0.08	2.69±0.17	4.31±0.17	1.13±0.14	3.64±0.08
E067	Wood Apple (Limonia acidissima)	3	5.51±0.81	7.54±1.48	31.42±4.82	15.65±3.76	2.92±0.77	4.20±1.18	4.26±0.53	2.51±0.21	1.20±0.21	3.93±0.09	3.17±0.10	2.58±0.05	0.85±0.13	0.41±0.11	2.98±2.82	2.01±0.30	0.85±0.05	3.72±0.29
E068	Zizyphus(Zizyphus jujube)	1	4.62	5.51	31.84	17.33	3.14	2.52	3.86	3.46	1.84	4.09	3.59	1.50	1.06	1.54	3.47	2.35	0.88	4.67
G017	Onion, big (Allium cepa)	6	3.61±0.64	13.21±0.46	8.96±0.84	25.10±0.60	3.86±0.64	2.01±0.33	2.68±0.54	1.92±0.23	1.76±0.20	2.08±0.40	3.25±0.23	3.52±0.62	0.92±0.13	0.88±0.12	2.77±0.20	2.10±0.36	1.23±0.08	2.75±0.61
G018	Onion, small (Allium cepa)	5	5.48±0.78	12.28±0.81	9.51±1.25	25.34±1.94	6.50±0.36	3.55±0.81	3.03±0.55	2.24±0.48	1.53±0.33	3.91±0.73	5.02±1.29	2.62±0.44	1.84±0.35	1.38±0.38	4.13±0.38	3.62±0.33	0.73±0.09	3.93±0.21
G	CONDIMENTS AND SPICES-DRY																			
G019	Asafoetida (Ferula assa-foetida)	6	3.99±0.34	3.33±0.61	13.74±1.92	27.68±4.23	4.34±0.46	7.15±0.64	6.03±0.50	2.40±0.33	2.19±0.84	2.49±0.15	5.61±0.50	2.21±0.45	0.70±0.16	0.89±0.39	4.35±0.62	2.74±0.27	1.23±0.11	1.84±0.27
G020	Cardamom, green (Elettaria cardamomum)	6	6.24±0.75	9.33±0.93	11.96±1.40	19.21±1.33	5.29±0.77	3.60±0.30	5.82±0.64	2.39±0.42	1.91±0.29	2.15±0.45	7.24±0.57	3.24±0.44	1.20±0.18	1.06±0.21	4.32±1.07	3.03±0.50	0.96±0.05	2.85±0.22
G021	Cardamom, black (Elettaria cardamomum)	4	6.19±0.88	7.36±0.31	15.14±0.95	17.81±0.83	5.64±0.85	4.25±0.20	5.37±0.01	1.97±0.36	1.82±0.04	1.80±0.15	6.02±0.22	2.58±0.05	0.86±0.03	0.79±0.04	3.39±0.07	2.95±0.07	0.86±0.18	2.64±0.16
G022	Chillies, red (Capsicum annum)	6	4.77±0.35	4.96±0.22	14.05±2.24	17.32±0.88	5.13±0.50	5.67±0.62	4.32±0.37	3.09±0.44	2.11±0.19	3.75±0.41	6.38±0.59	4.19±0.25	1.26±0.38	1.74±0.13	5.09±0.81	4.08±0.56	0.92±0.18	4.82±0.57
G023	Cloves (Syzygium aromaticum)	6	4.31±0.58	6.38±0.25	11.01±0.99	18.47±0.91	4.58±1.27	3.90±0.45	5.32±0.46	2.57±0.30	2.28±0.40	2.13±0.13	5.82±0.35	6.60±0.39	1.26±0.12	0.81±0.06	4.10±0.50	2.99±0.33	0.90±0.05	4.31±0.11
G024	Coriander seeds (Coriandrum sativum)	6	4.97±0.51	6.01±0.58	10.72±0.70	15.62±1.50	6.29±0.44	4.91±0.49	4.70±0.52	3.05±0.33	2.85±0.22	4.52±0.40	6.73±0.42	5.62±0.25	2.04±0.16	0.99±0.07	4.09±0.30	4.02±0.26	1.18±0.16	6.24±0.39
G025	Cumin seeds (Cuminum cyminum)	6	5.22±0.28	6.82±0.34	8.96±0.29	20.91±0.54	7.22±0.44	4.33±0.41	5.07±0.18	3.27±0.32	2.87±0.09	4.43±0.13	6.23±0.34	4.85±0.16	1.25±0.19	1.02±0.03	4.46±0.36	3.91±0.25	0.95±0.07	5.13±0.15
G026	Fenugreek seeds (Trigonella foenum graecum)	6	4.31±0.58	8.38±0.41	11.01±0.99	18.47±0.91	4.92±0.54	3.90±0.45	5.32±0.46	2.57±0.30	2.28±0.40	4.57±0.34	6.00±0.41	6.60±0.39	1.22±0.08	1.38±0.16	4.10±0.50	2.85±0.16	1.19±0.01	4.43±0.54
G027	Mace (Myristica fragrans)	6	7.39±0.52	4.80±0.60	12.36±1.37	10.93±0.68	6.24±0.41	5.21±0.55	5.92±0.67	3.78±0.33	1.89±0.19	2.35±0.26	5.78±0.52	2.61±0.50	1.18±0.01	1.31±0.10	4.29±0.94	5.26±0.67	1.26±0.07	3.09±0.89
G028	Nutmeg (Myristica fragrans)	6	5.98±0.79	6.88±0.80	10.96±0.83	16.10±0.76	5.72±0.66	4.54±0.70	6.20±0.68	2.43±0.43	1.43±0.36	2.23±0.59	5.20±0.79	3.42±0.52	1.08±0.07	0.83±0.14	4.86±0.40	3.02±0.59	0.88±0.06	3.12±0.22
G029	Omum (Trachyspermum ammi)	6	5.47±0.51	5.91±0.48	10.87±1.78	18.46±0.72	7.84±0.68	4.72±0.40	5.33±0.44	2.74±0.15	2.38±0.12	1.70±0.18	5.26±0.51	4.17±0.36	0.97±0.10	1.11±0.17	3.23±0.49	3.04±0.47	1.38±0.09	4.70±0.43
G030	Pippali (Piper longum)	6	6.12±0.90	7.69±0.19	15.24±1.47	15.04±0.83	4.70±0.73	6.61±1.02	5.25±0.85	4.97±0.53	1.46±0.06	2.44±0.48	8.49±0.38	1.95±0.29	0.93±0.13	0.77±0.10	4.25±0.98	3.01±0.14	1.31±0.14	3.82±0.45
G031	Pepper, black (Piper nigrum)	6	5.45±0.06	2.31±0.40	12.11±0.70	15.96±0.78	4.72±0.22	6.58±0.99	4.16±0.24	4.50±0.13	1.28±0.12	3.85±0.39	8.25±0.45	2.23±0.17	0.60±0.10	1.26±0.09	5.15±0.39	2.63±0.78	0.55±0.06	3.62±0.13
G032	Poppy seeds (Papaver somniferum)	6	4.89±0.43	8.87±0.25	10.98±0.87	24.34±0.92	5.12±0.58	14.39±0.10	5.29±0.55	3.41±0.22	2.18±0.13	3.64±0.08	5.98±0.29	4.45±0.29	1.51±0.29	1.37±0.14	3.69±0.56	3.54±0.29	0.82±0.08	4.33±0.09
G033	Turmeric powder (Curcuma domestica)	6	3.75±0.32	5.35±0.48	14.66±0.43	13.44±0.50	4.53±0.23	2.61±0.26	4.46±0.27	3.12±0.32	1.88±0.15	4.54±0.32	8.28±0.36	3.76±0.17	1.13±0.23	0.77±0.16	5.56±0.45	4.45±0.19	2.06±0.23	5.81±0.60
H003	Arecanut, dried, red color (Areca catechu)	3	6.70±0.44	12.68±1.19	8.22±1.00	19.61±1.29	5.21±0.30	4.62±0.69	5.89±1.02	2.84±0.28	2.75±0.96	1.56±0.27	4.26±0.07	4.84±0.36	0.97±0.18	0.55±0.03	3.83±0.72	2.86±0.89	0.76±0.13	3.33±0.18
H004	Arecanut, fresh (Areca catechu)	2	3.80	10.99	8.20	22.03	4.54	4.25	5.01	2.84	1.81	1.62	4.51	4.59	1.27	0.64	3.65	2.89	0.70	4.89
H005	Cashew nut (Anacardium occidentale)	6	5.35±0.37	9.75±0.07	9.85±0.19	22.76±0.64	5.25±0.39	3.97±0.20	6.39±0.35	2.81±0.11	2.27±0.36	3.86±0.30	7.02±0.23	4.80±0.26	1.38±0.11	1.33±0.09	4.87±0.70	3.12±0.17	1.05±0.11	3.23±0.19
H006	Coconut, kernel, dry (Cocos nucifera)	6	5.51±0.58	13.08±1.96	9.59±1.16	22.14±1.17	4.54±0.33	3.50±0.27	5.11±0.62	2.69±0.07	2.15±0.17	3.02±0.69	6.74±0.45	4.31±0.38	1.55±0.20	1.75±0.10	5.19±0.49	3.07±0.18	0.62±0.12	4.81±1.10
H007	Coconut, kernel, fresh (Cocos nucifera)	6	5.27±0.18	13.87±0.44	9.62±0.23	19.12±0.56	4.63±0.19	4.61±0.21	5.33±0.20	3.20±0.31	2.40±0.23	4.37±0.41	6.93±0.38	4.08±0.19	2.19±0.14	1.47±0.13	4.51±0.20	3.25±0.26	1.20±0.15	5.83±0.36
H008	Garden cress, seeds (Lepidium sativum)	5	5.33±0.35	10.67±0.38	10.29±0.83	21.34±0.82	5.22±0.19	4.37±0.17	4.99±0.18	3.47±0.12	2.62±0.10	3.75±0.15	6.58±0.10	3.85±0.19	1.85±0.16	1.23±0.10	3.89±0.18	3.15±0.16	1.24±0.18	4.69±0.18
H009	Gingelly seeds, black (Sesamum indicum)	6	5.92±0.70	11.02±0.73	8.63±1.39	20.14±1.72	5.66±0.76	3.76±0.41	5.48±0.54	3.22±0.72	2.39±0.25	5.69±0.17	5.91±0.78	2.63±0.31	3.36±0.13	1.22±0.16	4.74±0.38	3.19±0.22	1.10±0.11	4.78±0.37
H010	Gingelly seeds, brown (Sesamum indicum)	4	5.67±0.82	11.30±0.77	8.65±0.48	20.73±0.99	5.58±0.55	3.48±0.14	5.43±0.38	3.36±0.26	2.30±0.24	5.01±0.29	6.18±0.37	2.57±0.22	2.69±0.16	1.13±0.13	3.83±0.85	3.05±0.37	1.17±0.10	4.79±0.14
H011	Gingelly seeds, white (Sesamum indicum)	5	5.62±1.14	11.18±0.75	9.06±1.38	20.03±1.33	6.32±1.48	3.76±0.41	5.63±0.51	3.30±0.33	2.41±0.11	6.02±0.02	5.40±0.41	2.59±0.08	2.25±0.04	1.31±0.08	4.38±0.60	3.00±0.28	1.16±0.09	4.64±0.23
H012	Ground nut (Arachis hypogaea)	6	4.23±0.30	10.85±0.78	11.68±1.66	19.41±1.16	5.56±0.38	3.74±0.97	5.05±0.37	3.86±0.37	2.24±0.20	4.67±0.38	6.40±0.57	3.39±0.28	1.21±0.14	1.33±0.11	5.40±1.08	2.54±0.17	0.90±0.14	3.92±0.93
H013	Brassica nigra ) Mustard seeds (	6	4.62±0.53	6.71±0.74	7.14±0.68	19.70±2.13	5.08±0.77	6.11±0.80	4.20±0.72	3.03±0.30	2.76±0.16	3.80±0.46	6.96±0.32	5.31±0.34	1.66±0.43	1.63±0.10	4.47±0.71	4.02±0.31	1.23±0.09	5.00±0.72
H014	Linseeds (Linum usitatissimum)	6	4.89±0.25	11.15±0.62	10.87±0.25	17.70±1.07	5.71±0.20	4.39±0.17	5.25±0.12	3.48±0.12	2.62±0.10	4.47±0.22	6.81±0.26	4.63±0.22	1.75±0.05	1.61±0.10	5.58±0.26	3.88±0.10	1.57±0.12	5.31±0.13
H015	Niger seeds, black (Guizotia abyssinica)	4	6.92±0.68	7.54±0.65	9.85±0.55	22.85±2.79	6.13±0.79	4.46±0.61	4.16±0.84	3.02±0.19	1.88±0.47	4.57±0.23	4.71±0.27	3.61±0.28	1.31±0.21	1.76±0.53	3.14±0.91	2.70±0.88	1.25±0.14	3.69±0.67
H016	Niger seeds, gray (Guizotia abyssinica)	5	4.90±0.74	8.33±0.52	10.53±1.76	21.33±1.60	6.24±0.13	4.20±0.56	6.18±0.91	2.87±0.95	1.87±0.20	4.69±0.27	5.22±0.77	3.72±0.19	1.32±0.07	1.71±0.14	3.72±0.67	3.12±0.35	1.11±0.10	4.50±0.31
H017	) sp. Pine seed (Pinus	5	4.33±0.27	16.73±0.51	8.97±0.61	18.23±0.79	4.34±0.20	4.59±0.23	4.18±0.22	2.74±0.11	2.38±0.19	4.00±0.22	6.23±0.19	3.79±0.18	1.43±0.13	1.56±0.27	3.68±0.26	3.63±0.32	0.83±0.09	4.73±0.17
H018	Pistachio nuts (Pistacia vera)	6	5.17±0.15	8.52±0.36	9.94±0.38	16.37±0.62	5.99±0.17	3.69±0.12	4.19±0.30	3.18±0.29	2.28±0.13	5.22±0.15	7.55±0.30	3.32±0.18	1.45±0.12	1.46±0.13	5.52±0.51	4.60±0.17	1.42±0.19	5.27±0.22
H019	Safflower seeds (Carthamus tinctorius)	5	5.71±0.19	9.34±0.23	10.22±0.38	20.14±0.86	5.96±0.16	4.05±0.21	5.56±0.12	3.24±0.21	2.44±0.21	3.69±0.33	6.32±0.14	3.55±0.09	0.74±0.06	1.60±0.12	4.27±0.19	3.30±0.13	1.43±0.14	4.35±0.24
H020	Sunflower seeds (Helianthus annuus)	5	5.69±0.33	8.55±0.37	9.80±0.29	22.29±0.81	6.29±0.18	4.76±0.28	5.51±0.08	2.47±0.11	2.30±0.10	4.21±0.08	6.38±0.34	3.26±0.26	0.84±0.19	1.43±0.15	4.97±0.31	3.31±0.16	1.14±0.06	4.99±0.19
H021	Walnut (Juglans regia)	6	5.44±0.60	13.47±0.49	10.18±0.90	20.50±0.77	5.55±0.32	3.42±0.35	6.54±0.50	2.73±0.34	2.34±0.24	4.74±0.12	6.87±0.50	2.18±0.54	0.73±0.13	1.36±0.13	4.41±0.68	3.08±0.28	1.04±0.13	5.78±0.36
I002	Sugarcane, juice (Saccharum officinarum)	6	5.22±0.36	3.43±0.16	30.49±1.15	11.60±0.54	2.70±0.22	2.46±0.25	3.55±0.31	2.35±0.19	1.79±0.17	3.81±0.15	3.55±0.08	2.53±0.29	0.40±0.06	0.52±0.14	5.11±0.29	3.02±0.10	0.75±0.16	4.19±0.27
J	MUSHROOMS																			
J001	Button mushroom, fresh (Agaricus sp.)	1	5.60	6.60	10.24	14.35	5.38	3.80	4.32	3.20	2.68	4.36	6.88	6.82	1.66	0.98	4.63	4.40	1.26	5.48
J002	Chicken mushroom, fresh (Lactiporus sp.)	1	6.20	7.23	10.30	15.80	5.26	4.21	4.50	3.18	2.16	4.42	7.03	7.20	1.70	1.02	4.50	4.38	1.30	5.36
J003	Shiitake mushroom, fresh (Lentinula sp.)	1	6.38	6.80	10.51	14.67	5.80	3.66	4.45	3.10	2.20	4.50	7.14	7.36	1.56	1.06	4.20	4.92	1.32	6.08
J004	Oyster mushroom, dried (Pleurotus sp.)	1	6.46	6.94	10.72	15.60	5.69	4.40	4.80	3.08	2.81	4.30	7.08	7.54	1.82	1.20	4.52	4.86	1.41	6.16
K K	MISCELLANEOUS FOODS																			
001	Toddy (Borassus flabellifer)	10																		
K002	Coconut Water (Cocos nucifera)	6	20.28±2.26	5.13±1.26	10.81±0.71	31.01±1.65	1.97±0.64	4.25±1.56	5.05±1.71	1.57±0.31	1.75±0.46	1.58±0.28	2.35±0.56	3.84±2.33	0.59±0.12	0.99±0.13	1.95±0.89	2.69±0.66	0.78±0.18	3.02±0.59
L L	MILK AND MILK PRODUCTS																			
001	Milk, whole, Buffalo	6	3.38±0.14	3.09±0.42	8.21±0.16	16.21±0.76	2.43±0.08	7.60±0.40	5.78±0.39	4.86±0.41	2.08±0.11	5.30±0.38	9.83±0.05	7.87±0.30	2.46±0.08	1.25±0.08	4.26±0.14	4.42±0.21	1.30±0.18	5.86±0.29
L002	Milk, whole, Cow	6	3.87±0.27	3.25±0.34	8.84±0.36	17.88±0.43	2.35±0.07	6.82±0.13	6.36±0.51	5.48±0.35	2.14±0.13	6.20±0.55	10.66±0.41	8.59±0.20	2.51±0.12	1.22±0.04	5.09±0.42	4.81±0.07	1.46±0.11	6.40±0.24
L003	Paneer	6	3.39±1.05	3.56±0.46	7.69±0.14	20.24±1.09	2.18±0.19	10.45±0.59	5.27±0.13	5.36±0.31	2.04±0.45	4.79±0.19	9.76±0.14	5.79±0.93	2.28±0.21	0.72±0.16	5.08±0.16	4.37±0.16	1.42±0.87	5.68±0.20
L004	Khoa	6	3.99±0.35	1.06±0.67	7.95±0.23	21.82±0.43	2.02±0.11	11.32±0.89	5.37±0.33	4.95±0.31	1.47±0.16	4.93±0.21	10.34±0.28	2.41±0.21	1.95±0.17	0.75±0.17	5.08±0.32	4.63±0.18	1.59±0.80	6.10±0.18
	Food Name																			
			ALA	ARG	ASP	GLU	GLY	PRO	SER	TYR										
M	EGG AND EGG PRODUCTS																			
M001	Egg, poultry, whole, raw	6.0	6.72±0.27	6.29±0.32	9.53±0.18	13.53±0.32	3.23±0.20	4.11±0.21	6.71±0.33	3.93±0.12										
M002	Egg, poultry, white, raw	6.0	6.24±0.33	5.28±0.56	10.55±0.49	14.15±0.65	3.49±0.27	4.88±0.78	6.45±0.31	3.62±0.16										
M003	Egg, poultry, yolk, raw	6.0	6.17±0.22	7.08±0.38	9.35±0.23	13.69±0.40	3.20±0.11	3.97±0.15	7.97±0.33	4.05±0.17										
M004	Egg, poultry, whole, boiled	6.0	6.66±0.09	6.25±0.40	10.13±0.56	13.69±0.39	3.20±0.12	3.88±0.17	6.85±0.21	4.03±0.15										
M005	Egg, poultry, white, boiled	6.0	6.16±0.39	5.37±0.16	10.20±0.40	13.03±0.64	3.42±0.25	4.53±0.71	7.36±0.35	3.48±0.22										
M006	Egg, poultry, yolk, boiled	6.0	6.43±0.82	6.94±0.49	9.36±0.24	13.06±0.74	3.04±0.06	3.46±0.25	7.44±0.38	4.06±0.62										
M007	Egg, poultry, omlet	3.0	6.81±1.01	6.09±0.27	9.76±0.28	N13o..7 o3f± R0.e0g7ions	3.32±0.07	4.91±1.51	6.68±0.15	3.93±0.04										
M008	Egg, country hen, whole, raw	1.0	6.21	6.42	9.79	13.04	3.54	3.36	7.54	3.70										
M009	Egg, country hen, whole, boiled	1.0	6.87	6.39	9.58	13.24	3.28	3.82	6.65	3.99										
M010	Egg, country hen, omlet	1.0	5.82	5.91	10.03	13.87	3.26	3.83	6.90	3.71										
M011	Egg, duck, whole, boiled	1.0	6.36	5.08	10.12	13.41	2.76	3.59	5.74	3.93										
M012	Egg, duck, whole, raw	1.0	6.45	5.22	10.29	13.61	3.62	3.50	6.49	3.96										
M013	Egg, duck, whole, omlet	1.0	6.74	5.08	9.74	13.88	2.88	3.91	5.61	3.53										
M014	Egg, quial, whole, raw	1.0	6.18	6.03	10.79	13.77	4.14	3.36	6.43	3.73										
M015	Egg, quial, whole, boiled	1.0	5.34	5.48	9.93	13.44	3.45	3.71	6.00	3.89										
N	POULTRY																			
N001	Chicken, poultry, leg, skinless	4.0	6.04±0.32	7.07±0.21	9.35±0.51	16.40±0.68	4.98±0.12	4.30±0.17	3.91±0.25	3.71±0.17										
N002	Chicken, poultry, thigh, skinless	6.0	6.04±0.32	7.01±0.15	9.05±0.56	16.87±0.37	4.85±0.46	3.93±0.47	4.01±0.36	3.51±0.23										
N003	Chicken, poultry, breast, skinless	5.0	6.31±0.37	7.23±0.23	9.16±0.45	16.92±0.43	4.80±0.25	4.77±0.31	4.15±0.39	3.89±0.16										
N004	Chicken, poultry, wing, skinless	5.0	6.26±0.33	6.84±0.20	9.42±0.37	16.01±0.45	5.01±0.27	4.37±0.43	3.85±0.20	3.15±0.05										
	Food Name																			
			ALA	ARG	ASP	GLU	GLY	PRO	SER	TYR										
M	EGG AND EGG PRODUCTS																			
M001	Egg, poultry, whole, raw	6.0	6.72±0.27	6.29±0.32	9.53±0.18	13.53±0.32	3.23±0.20	4.11±0.21	6.71±0.33	3.93±0.12										
M002	Egg, poultry, white, raw	6.0	6.24±0.33	5.28±0.56	10.55±0.49	14.15±0.65	3.49±0.27	4.88±0.78	6.45±0.31	3.62±0.16										
M003	Egg, poultry, yolk, raw	6.0	6.17±0.22	7.08±0.38	9.35±0.23	13.69±0.40	3.20±0.11	3.97±0.15	7.97±0.33	4.05±0.17										
M004	Egg, poultry, whole, boiled	6.0	6.66±0.09	6.25±0.40	10.13±0.56	13.69±0.39	3.20±0.12	3.88±0.17	6.85±0.21	4.03±0.15										
M005	Egg, poultry, white, boiled	6.0	6.16±0.39	5.37±0.16	10.20±0.40	13.03±0.64	3.42±0.25	4.53±0.71	7.36±0.35	3.48±0.22										
M006	Egg, poultry, yolk, boiled	6.0	6.43±0.82	6.94±0.49	9.36±0.24	13.06±0.74	3.04±0.06	3.46±0.25	7.44±0.38	4.06±0.62										
M007	Egg, poultry, omlet	3.0	6.81±1.01	6.09±0.27	9.76±0.28	N13o..7 o3f± R0.e0g7ions	3.32±0.07	4.91±1.51	6.68±0.15	3.93±0.04										
M008	Egg, country hen, whole, raw	1.0	6.21	6.42	9.79	13.04	3.54	3.36	7.54	3.70										
M009	Egg, country hen, whole, boiled	1.0	6.87	6.39	9.58	13.24	3.28	3.82	6.65	3.99										
M010	Egg, country hen, omlet	1.0	5.82	5.91	10.03	13.87	3.26	3.83	6.90	3.71										
M011	Egg, duck, whole, boiled	1.0	6.36	5.08	10.12	13.41	2.76	3.59	5.74	3.93										
M012	Egg, duck, whole, raw	1.0	6.45	5.22	10.29	13.61	3.62	3.50	6.49	3.96										
M013	Egg, duck, whole, omlet	1.0	6.74	5.08	9.74	13.88	2.88	3.91	5.61	3.53										
M014	Egg, quial, whole, raw	1.0	6.18	6.03	10.79	13.77	4.14	3.36	6.43	3.73										
M015	Egg, quial, whole, boiled	1.0	5.34	5.48	9.93	13.44	3.45	3.71	6.00	3.89										
N	POULTRY																			
N001	Chicken, poultry, leg, skinless	4.0	6.04±0.32	7.07±0.21	9.35±0.51	16.40±0.68	4.98±0.12	4.30±0.17	3.91±0.25	3.71±0.17										
N002	Chicken, poultry, thigh, skinless	6.0	6.04±0.32	7.01±0.15	9.05±0.56	16.87±0.37	4.85±0.46	3.93±0.47	4.01±0.36	3.51±0.23										
N003	Chicken, poultry, breast, skinless	5.0	6.31±0.37	7.23±0.23	9.16±0.45	16.92±0.43	4.80±0.25	4.77±0.31	4.15±0.39	3.89±0.16										
N004	Chicken, poultry, wing, skinless	5.0	6.26±0.33	6.84±0.20	9.42±0.37	16.01±0.45	5.01±0.27	4.37±0.43	3.85±0.20	3.15±0.05										
N005	Poultry, chicken, liver	1	6.12	6.59	9.33	12.74	4.65	4.51	4.44	3.81	3.20	5.11	9.93	8.20	2.53	1.44	5.82	4.82	1.52	6.30
N006	Poultry, chicken, gizzard	1	6.22	7.97	8.56	14.29	5.63	5.90	4.01	3.78	2.61	4.53	7.67	8.82	2.55	1.67	4.48	4.30	1.83	4.59
N007	Country hen, leg, with skin	1	6.03	7.42	9.92	15.12	3.03	3.69	5.57	3.97	2.20	5.16	9.22	7.52	2.49	1.19	4.32	4.93	1.15	5.99
N008	Country hen, thigh, with skin	1	6.19	7.32	8.86	15.54	4.76	4.87	4.96	3.99	2.87	5.04	9.29	7.65	2.63	1.08	5.01	5.21	1.26	5.01
N009	Country hen, breast, with skin	1	6.05	7.67	8.77	15.91	4.34	5.06	4.78	4.09	4.04	4.98	7.92	7.96	2.47	1.08	5.77	4.38	1.80	5.08
N010	Country hen, wing, with skin	1	6.58	6.50	9.03	15.93	5.37	4.60	3.77	3.86	3.50	4.64	9.12	7.90	2.84	1.16	5.70	4.33	1.24	5.12
N011	Duck, meat, with skin	1	6.44	7.45	9.31	14.99	4.80	4.47	4.43	4.59	3.26	5.46	8.36	7.31	2.65	1.14	5.34	5.31	1.54	5.09
N012	Emu, meat, skinless	1	6.62	7.14	8.73	14.36	4.83	4.53	4.26	4.39	3.12	5.77	8.58	7.23	2.89	1.24	5.12	5.13	1.74	5.04
N013	Guinea fowl, meat, with skin	1	6.58	6.79	9.08	14.57	4.98	4.20	4.04	3.45	2.66	4.88	8.49	7.35	2.58	0.99	4.70	4.64	1.65	4.98
N014	Pigeon, meat, with skin	1	6.31	6.59	8.95	14.38	4.77	4.14	4.19	3.62	2.47	5.33	8.32	7.22	3.02	1.16	4.51	4.88	1.62	5.28
N015	Quail, meat, skinless	1	6.79	7.01	8.90	14.35	5.03	3.50	4.46	4.13	2.98	5.74	8.65	7.20	2.89	1.27	5.03	5.11	1.74	5.14
N016	Turkey, leg, with skin	1	6.60	6.80	8.77	15.71	4.55	4.13	4.46	4.04	2.40	5.80	8.62	6.58	3.08	1.43	4.64	5.06	1.66	5.06
N017	Turkey, thigh, with skin	1	6.15	6.93	8.65	16.08	4.66	4.27	4.65	3.89	2.62	5.82	8.94	6.78	2.69	1.44	4.62	5.32	1.62	5.36
N018	Turkey, breast, with skin	1	6.44	7.52	8.86	15.39	4.62	4.26	4.09	4.36	2.97	5.46	8.17	7.07	2.57	1.12	5.91	4.80	1.54	5.03
N019	Turkey, wing, with skin	1	6.09	6.26	9.44	16.62	5.20	4.28	4.22	4.07	3.32	5.10	9.14	7.22	2.35	1.43		4.85	1.71	5.51
O	ANIMAL MEAT																			
O001	Goat, shoulder	6	5.66±0.62	7.29±1.42	9.26±0.68	14.68±0.73	5.63±0.34	4.72±0.13	4.34±0.30	3.95±0.43	3.33±0.48	4.19±0.39	9.00±0.38	7.66±0.33	2.17±0.17	1.35±0.18	4.71±0.24	4.71±0.15	1.34±0.10	5.12±0.28
O002	Goat, chops	6	5.41±0.61	7.06±1.26	9.29±0.34	14.31±1.25	6.05±0.70	4.20±0.47	4.24±0.63	3.71±0.23	3.53±0.69	4.59±0.17	7.26±0.09	6.24±0.19	2.56±0.57	1.35±0.16	4.45±0.23	5.09±0.66	1.63±0.23	4.92±0.29
O003	Goat, legs	6	5.15±0.74	7.76±1.20	9.89±0.20	14.02±1.12	5.64±0.58	4.08±0.45	4.43±0.42	4.66±0.79	3.63±0.76	4.63±0.31	8.09±0.15	6.81±0.04	2.79±0.30	1.67±0.57	4.51±0.09	5.38±0.82	1.43±0.21	4.65±0.35
O004	Goat, brain	5	6.01±0.30	6.61±0.72	8.47±0.30	13.68±0.35	5.72±0.23	4.20±0.14	5.29±0.35	4.68±0.55	2.98±1.01	4.82±0.09	8.24±0.25	5.21±0.20	3.05±0.29	1.29±0.08	4.70±0.03	5.29±0.44	1.36±0.11	5.29±0.18
O005	Goat, tongue	4	5.70±0.61	7.02±0.81	8.26±0.43	13.47±0.63	6.34±0.36	4.78±0.53	4.64±0.75	3.97±0.62	3.18±0.37	4.15±0.28	7.05±0.18	5.59±0.09	2.38±0.52	1.45±0.11	4.50±0.42	4.70±0.47	1.45±0.23	4.67±0.32
O006	Goat, lungs	4	6.07±0.64	7.16±0.67	7.77±0.31	11.41±0.94	6.06±0.26	5.59±0.45	4.58±0.29	4.51±0.48	2.54±0.05	3.26±0.12	8.04±0.59	5.82±0.10	2.46±0.41	1.48±0.05	5.15±0.53	4.64±0.42	1.45±0.16	5.74±0.45
O007	Goat, heart	5	5.59±0.34	6.25±0.50	8.15±0.36	13.14±0.74	6.71±1.03	4.38±0.38	4.74±0.29	3.97±0.40	3.08±0.76	4.27±0.26	7.04±0.07	6.35±0.18	2.41±0.20	1.71±0.38	5.08±0.62	5.38±0.21	1.31±0.12	5.43±0.51
O008	Goat, liver	6	6.27±0.18	5.64±1.19	8.74±0.76	12.09±1.18	5.29±0.35	4.76±0.34	4.93±0.21	3.50±0.07	3.04±0.42	4.61±0.38	8.39±0.98	6.02±0.25	2.49±0.15	1.71±0.74	4.53±0.99	4.23±0.47	1.22±0.11	6.58±0.68
O009	Goat, tripe	5	5.55±0.26	7.76±0.93	8.33±0.59	11.46±0.53	8.20±0.97	5.02±0.45	4.48±0.35	4.11±0.91	3.59±0.31	3.24±0.10	7.22±0.19	5.99±0.17	2.88±0.20	1.62±0.42	5.24±0.45	4.40±0.25	1.34±0.06	4.16±0.21
O010	Goat, spleen	4	6.49±0.32	6.58±0.40	8.80±0.40	12.26±0.30	7.86±1.08	4.54±0.50	4.26±0.15	3.74±0.35	2.70±0.41	3.44±0.02	8.89±0.87	5.50±0.11	2.48±0.61	1.37±0.17	5.27±0.28	4.62±0.35	1.46±0.06	6.27±0.90
