food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine	Aspartic Acid_std	Histidine_std	Lysine_std	Glutamic Acid_std	Methionine_std	Phenylalanine_std	Valine_std	Proline_std	Cystine_std	Glycine_std	Arginine_std	Leucine_std	Threonine_std	Tryptophan_std	Alanine_std	Tyrosine_std	Serine_std	Isoleucine_std
A	CEREALS AND MILLETS																																					
B020	Rajmah, red (Phaseolus vulgaris)	3	4.57	6.1	10.5	16.01	3.78	3.4	5.74	3.12	2.7	4.23	7.78	6.71	0.88	0.7	5.9	4.18	1.05	5.07	0.85	0.3	0.81	2.17	0.4	0.56	0.71	0.58	0.18	0.49	0.85	0.71	0.65	0.27	0.53	0.37	0.9	0.38
B021	Red gram, dal (Cajanus cajan)	6	4.49	5.87	10.26	21.5	3.23	3.94	4.26	2.32	3.16	3.42	6.73	6.16	0.87	0.67	8.76	3.26	0.71	4.38	1.05	0.27	0.28	1.33	0.22	1.02	0.3	0.53	0.12	0.18	0.34	0.56	0.17	0.11	0.87	0.25	0.43	0.43
B022	Red gram, whole (Cajanus cajan)	6	4.35	5.98	10.41	20.27	3.33	3.93	4.4	2.54	3.28	3.38	6.88	7.07	0.92	0.91	8.71	3.38	0.75	4.17	0.95	0.13	0.37	0.94	0.32	0.82	0.65	0.47	0.07	0.25	0.33	0.48	0.21	0.17	0.41	0.25	0.41	0.49
B023	Ricebean (Vigna umbellata )	1	4.76	5.58	10.12	17.32	4.28	4.2	4.83	3.12	3.23	3.8	7.86	6.75	1.12	1.02	7.56	3.52	0.82	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B024	Soybean, brown (Glycine max)	6	4.32	6.62	11.47	18.27	3.79	4.4	4.91	3.21	2.4	4.57	8.27	7.67	1.46	1.56	4.73	3.47	1.59	5.04	1.19	0.28	0.11	1.26	0.11	0.77	0.59	0.2	0.08	0.31	0.5	0.17	0.17	0.26	0.61	0.3	0.66	0.33
B025	Soybean, white (Glycine max)	1	4.33	7.33	11.4	16.78	3.89	3.24	4.62	3.32	2.55	4.59	8.14	7.18	1.55	1.44	5.01	3.88	1.68	5.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C010	Betel leaves, big (Kolkata) (Piper betle)	6	8.68	4.94	12.59	13.33	7.5	5.43	6.16	3.48	0.8	2.05	7.87	2.3	0.72	0.42	4.58	4.25	1.0	3.46	0.61	0.09	0.41	1.59	0.17	1.11	0.36	0.79	0.26	1.22	0.51	0.65	0.6	0.45	0.82	0.27	0.69	0.26
C011	Betel leaves, small (Piper betle)	4	7.61	4.59	11.69	12.99	7.88	5.13	6.21	3.37	0.81	2.59	7.86	2.27	0.76	0.38	4.73	4.57	0.69	3.93	0.47	0.03	0.13	1.39	0.23	1.81	1.61	0.87	0.1	1.42	0.57	1.6	0.42	0.18	1.58	0.28	0.96	1.26
C012	Brussels sprouts (Brassica oleracea var. gemmifera)	1	4.63	7.63	12.36	20.82	4.54	8.89	5.45	2.37	1.79	3.58	5.04	3.5	1.34	0.67	3.23	4.3	0.93	4.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C013	Cabbage, Chinese (Brassica rupa)	1	6.37	5.84	10.84	21.42	3.82	3.76	5.82	2.05	1.97	5.72	5.69	5.78	1.06	0.94	3.27	4.01	1.24	5.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
